grid_point,index,value,sampled_n
gp_1,N0,15.609,40
gp_1,N1,12.832502210158681,40
gp_1,N2,10.857987546217137,40
gp_1,E10,0.8224334085140106,40
gp_1,E20,0.6967073833729608,40
gp_10,N0,18.424,40
gp_10,N1,12.77590955543651,40
gp_10,N2,9.409419508744321,40
gp_10,E10,0.6934415930119967,40
gp_10,E20,0.5116634003439106,40
gp_100,N0,13.585,40
gp_100,N1,9.850328791582628,40
gp_100,N2,8.034859887727858,40
gp_100,E10,0.7271378538950681,40
gp_100,E20,0.5944427091249005,40
gp_101,N0,11.223,40
gp_101,N1,9.051836324450251,40
gp_101,N2,7.769997861873821,40
gp_101,E10,0.8085870982164053,40
gp_101,E20,0.6954862869088823,40
gp_102,N0,17.229,40
gp_102,N1,13.35907549679607,40
gp_102,N2,11.002628802643521,40
gp_102,E10,0.7761909701580276,40
gp_102,E20,0.6402485435315015,40
gp_103,N0,11.504,40
gp_103,N1,7.902943720081683,40
gp_103,N2,6.3470428050927925,40
gp_103,E10,0.6921811633986347,40
gp_103,E20,0.5588797744928782,40
gp_104,N0,9.42,40
gp_104,N1,5.330992531467509,40
gp_104,N2,3.939922624092762,40
gp_104,E10,0.5697995351850179,40
gp_104,E20,0.4237674765888972,40
gp_105,N0,12.021,40
gp_105,N1,9.204431672156732,40
gp_105,N2,7.6054129783725175,40
gp_105,E10,0.7689867876304718,40
gp_105,E20,0.6382795675610289,40
gp_106,N0,10.654,40
gp_106,N1,6.245874186868922,40
gp_106,N2,4.396554614947542,40
gp_106,E10,0.5887974790907288,40
gp_106,E20,0.41654914261688336,40
gp_107,N0,4.781,40
gp_107,N1,2.8807792785037623,40
gp_107,N2,2.2856027647318724,40
gp_107,E10,0.6101969133558977,40
gp_107,E20,0.4871843352916486,40
gp_108,N0,4.764,40
gp_108,N1,2.951122417552825,40
gp_108,N2,2.4659382868898843,40
gp_108,E10,0.6224952019750882,40
gp_108,E20,0.5213283548115122,40
gp_109,N0,4.325,40
gp_109,N1,2.5950203347185083,40
gp_109,N2,2.148850988229042,40
gp_109,E10,0.6120683128252274,40
gp_109,E20,0.5099876838839408,40
gp_11,N0,14.06,40
gp_11,N1,9.875350005566936,40
gp_11,N2,7.8506368407292,40
gp_11,E10,0.7044130805963289,40
gp_11,E20,0.5615626539379912,40
gp_110,N0,10.266,40
gp_110,N1,5.261545559271977,40
gp_110,N2,3.344172273380022,40
gp_110,E10,0.5135440366900249,40
gp_110,E20,0.32841991556261224,40
gp_111,N0,12.149,40
gp_111,N1,8.40600349040758,40
gp_111,N2,6.425237810824604,40
gp_111,E10,0.6937801076079612,40
gp_111,E20,0.5319102914314028,40
gp_112,N0,10.185,40
gp_112,N1,7.1051703878045505,40
gp_112,N2,5.540357456653577,40
gp_112,E10,0.6995012120892146,40
gp_112,E20,0.5469576009614431,40
gp_113,N0,10.389,40
gp_113,N1,7.563646680345626,40
gp_113,N2,6.053782577048673,40
gp_113,E10,0.7320403765068886,40
gp_113,E20,0.5883525541024193,40
gp_114,N0,8.96,40
gp_114,N1,4.692117965108091,40
gp_114,N2,3.0723167245200473,40
gp_114,E10,0.526248645734173,40
gp_114,E20,0.3467330284402829,40
gp_115,N0,14.351,40
gp_115,N1,8.373751630952807,40
gp_115,N2,5.510745039397119,40
gp_115,E10,0.5844994591612429,40
gp_115,E20,0.38588532746043813,40
gp_116,N0,13.407,40
gp_116,N1,7.2342007798882575,40
gp_116,N2,4.5676247531024465,40
gp_116,E10,0.5430150924719067,40
gp_116,E20,0.344951706452725,40
gp_117,N0,11.495,40
gp_117,N1,8.021649524296382,40
gp_117,N2,6.5622048215058575,40
gp_117,E10,0.7020309621379625,40
gp_117,E20,0.5766197642815613,40
gp_118,N0,5.961,40
gp_118,N1,4.811093416990328,40
gp_118,N2,4.2366418301307105,40
gp_118,E10,0.8154973372951642,40
gp_118,E20,0.7227472557503266,40
gp_119,N0,5.49,40
gp_119,N1,3.9581611341500933,40
gp_119,N2,3.3883816575101853,40
gp_119,E10,0.7321159398869367,40
gp_119,E20,0.6305464577437941,40
gp_12,N0,11.943,40
gp_12,N1,7.794102667008781,40
gp_12,N2,5.840740327036545,40
gp_12,E10,0.6547060044637254,40
gp_12,E20,0.4930616808632071,40
gp_120,N0,3.425,40
gp_120,N1,2.6703319436469646,40
gp_120,N2,2.4101382337289405,40
gp_120,E10,0.7908496251953506,40
gp_120,E20,0.716554879465875,40
gp_121,N0,9.152,40
gp_121,N1,5.194304423515056,40
gp_121,N2,3.422121172765775,40
gp_121,E10,0.5690300585879616,40
gp_121,E20,0.3764703256240891,40
gp_122,N0,2.515,40
gp_122,N1,1.741732578552564,40
gp_122,N2,1.5147055074358706,40
gp_122,E10,0.7194736919171407,40
gp_122,E20,0.6305265879477345,40
gp_123,N0,3,40
gp_123,N1,2.785872527897461,40
gp_123,N2,2.651486839399328,40
gp_123,E10,0.9286241759658204,40
gp_123,E20,0.8838289464664426,40
gp_124,N0,3.152,40
gp_124,N1,2.048375813522607,40
gp_124,N2,1.6839252215484677,40
gp_124,E10,0.6569752484083007,40
gp_124,E20,0.5417581721501645,40
gp_125,N0,9.956,40
gp_125,N1,6.305102420737105,40
gp_125,N2,4.766016530880314,40
gp_125,E10,0.6370557772212202,40
gp_125,E20,0.48378856585415,40
gp_126,N0,10.929,40
gp_126,N1,8.272066560197365,40
gp_126,N2,7.011675877281566,40
gp_126,E10,0.7607206547018908,40
gp_126,E20,0.6469646134448079,40
gp_127,N0,5.588,40
gp_127,N1,3.396744550407889,40
gp_127,N2,2.7936127213051614,40
gp_127,E10,0.6157990320191086,40
gp_127,E20,0.5101544749403519,40
gp_128,N0,14.089,40
gp_128,N1,10.033498851196505,40
gp_128,N2,7.835300484038158,40
gp_128,E10,0.7143604272851448,40
gp_128,E20,0.5596085443490676,40
gp_129,N0,10.819,40
gp_129,N1,6.403271473656021,40
gp_129,N2,4.744689904000602,40
gp_129,E10,0.5958839006938386,40
gp_129,E20,0.44487094312725745,40
gp_13,N0,13.994,40
gp_13,N1,8.447228588455388,40
gp_13,N2,6.3013467683318165,40
gp_13,E10,0.6057617071172595,40
gp_13,E20,0.4530410665165519,40
gp_130,N0,11.877,40
gp_130,N1,7.641280451281796,40
gp_130,N2,5.511857509741821,40
gp_130,E10,0.6467874408442033,40
gp_130,E20,0.4694603466698445,40
gp_131,N0,15.606,40
gp_131,N1,9.898611164198188,40
gp_131,N2,7.289320366785098,40
gp_131,E10,0.6360559388170092,40
gp_131,E20,0.46997594852604613,40
gp_132,N0,6.586,40
gp_132,N1,4.222721600265892,40
gp_132,N2,3.166850865442942,40
gp_132,E10,0.6480823925679026,40
gp_132,E20,0.4896043943857377,40
gp_133,N0,10.179,40
gp_133,N1,7.822244586981585,40
gp_133,N2,6.550310476570408,40
gp_133,E10,0.770664762103928,40
gp_133,E20,0.6469671668456769,40
gp_134,N0,6.689,40
gp_134,N1,4.40038444088593,40
gp_134,N2,3.5170021991098452,40
gp_134,E10,0.6635044661130991,40
gp_134,E20,0.533285784958997,40
gp_135,N0,3.779,40
gp_135,N1,3.092725685308725,40
gp_135,N2,2.7618984919043457,40
gp_135,E10,0.8217224390551755,40
gp_135,E20,0.7354616707480496,40
gp_136,N0,3.03,40
gp_136,N1,2.35295184989386,40
gp_136,N2,2.186755368598797,40
gp_136,E10,0.7919296622351033,40
gp_136,E20,0.74008754636674,40
gp_137,N0,3.566,40
gp_137,N1,3.098262478706739,40
gp_137,N2,2.955273391108562,40
gp_137,E10,0.8863836316239336,40
gp_137,E20,0.8492755167645099,40
gp_138,N0,3.621,40
gp_138,N1,2.649243829393159,40
gp_138,N2,2.26589068260298,40
gp_138,E10,0.739293352400497,40
gp_138,E20,0.6343485112939464,40
gp_139,N0,2.462,40
gp_139,N1,1.443096354237377,40
gp_139,N2,1.2427124497603206,40
gp_139,E10,0.6098310294360931,40
gp_139,E20,0.5311007904278395,40
gp_14,N0,8.523,40
gp_14,N1,3.7977614345778385,40
gp_14,N2,2.4328605936444276,40
gp_14,E10,0.4516246909702139,40
gp_14,E20,0.2925123766477351,40
gp_140,N0,5.351,40
gp_140,N1,3.3619494634355784,40
gp_140,N2,2.8602179055142067,40
gp_140,E10,0.6409103790763145,40
gp_140,E20,0.5484510406856946,40
gp_141,N0,6.295,40
gp_141,N1,3.036886314056545,40
gp_141,N2,2.0641718276450027,40
gp_141,E10,0.4861043288335464,40
gp_141,E20,0.3331617211335209,40
gp_142,N0,4.44,40
gp_142,N1,2.225938219437481,40
gp_142,N2,1.6726948081841098,40
gp_142,E10,0.512718494267397,40
gp_142,E20,0.3890734121007553,40
gp_143,N0,14.094,40
gp_143,N1,9.98594089910286,40
gp_143,N2,8.039876184524847,40
gp_143,E10,0.7112147071929171,40
gp_143,E20,0.5747082709791833,40
gp_144,N0,20.891,40
gp_144,N1,15.466725382072502,40
gp_144,N2,12.578257490805088,40
gp_144,E10,0.7412485753648961,40
gp_144,E20,0.6035863246319029,40
gp_145,N0,11.204,40
gp_145,N1,6.643618180353306,40
gp_145,N2,4.914648491730005,40
gp_145,E10,0.5967301870330382,40
gp_145,E20,0.44428627901735135,40
gp_146,N0,13.551,40
gp_146,N1,7.38155939367609,40
gp_146,N2,5.119165028077117,40
gp_146,E10,0.5484365234957639,40
gp_146,E20,0.3823622567370898,40
gp_147,N0,2.18,40
gp_147,N1,1.552443690119699,40
gp_147,N2,1.3623102782869752,40
gp_147,E10,0.7256315690470005,40
gp_147,E20,0.638999882596512,40
gp_148,N0,2.811,40
gp_148,N1,1.8848020032528368,40
gp_148,N2,1.6020407329627695,40
gp_148,E10,0.6914550643931996,40
gp_148,E20,0.5934520726244892,40
gp_149,N0,4.258,40
gp_149,N1,2.4256861486428396,40
gp_149,N2,1.9561848999713733,40
gp_149,E10,0.58977883534747,40
gp_149,E20,0.4816345141003761,40
gp_15,N0,11.258,40
gp_15,N1,7.21311823011984,40
gp_15,N2,5.225000682590318,40
gp_15,E10,0.6426929943828197,40
gp_15,E20,0.46706831833698986,40
gp_150,N0,3.243,40
gp_150,N1,2.199107402538449,40
gp_150,N2,2.0096869606344483,40
gp_150,E10,0.7189188432808288,40
gp_150,E20,0.6655458105928753,40
gp_151,N0,6.217,40
gp_151,N1,3.525924905455731,40
gp_151,N2,2.791783112186756,40
gp_151,E10,0.5793800992571596,40
gp_151,E20,0.4637220713216563,40
gp_152,N0,8.847,40
gp_152,N1,5.772696616799845,40
gp_152,N2,4.088331145377743,40
gp_152,E10,0.654329560638378,40
gp_152,E20,0.46624008334772665,40
gp_153,N0,6.928,40
gp_153,N1,5.435158801127628,40
gp_153,N2,4.686544453864303,40
gp_153,E10,0.787746228884856,40
gp_153,E20,0.6812314526204524,40
gp_154,N0,5.919,40
gp_154,N1,3.408453822042613,40
gp_154,N2,2.4997499535571834,40
gp_154,E10,0.5852713971571103,40
gp_154,E20,0.4332964596767673,40
gp_155,N0,12.117,40
gp_155,N1,7.211729264780091,40
gp_155,N2,5.098229435889464,40
gp_155,E10,0.597454310248724,40
gp_155,E20,0.42525067842512276,40
gp_156,N0,14.345,40
gp_156,N1,10.410462524376412,40
gp_156,N2,8.150639471347944,40
gp_156,E10,0.7261866418641251,40
gp_156,E20,0.5696506162279162,40
